query,x[m],y[m],z[m],th[deg],ph[deg],query_pix,dilated_pix,lapse time[ms]
0,\workspa,e\UMap\S,N\gazebo,am\que,\query,0,0,729
DB No.,x[m],y[m],z[m],th[deg],ph[deg],A,B,Bcon,C,D,E,Econ,F,sim_index,SPV_and,SPV_in, SPV_db 
0057564,0000.600,-002.000,0000.200,0000.0,0000.0,0,0,0,0,771,8557,4659,52112,0,0,0,0
0057565,0000.800,-002.000,0000.200,0000.0,0000.0,0,0,0,0,918,9113,4997,51409,0,0,0,0
0057566,0001.000,-002.000,0000.200,0000.0,0000.0,0,0,0,0,827,10046,5459,50567,0,0,0,0
0057567,0001.200,-002.000,0000.200,0000.0,0000.0,0,0,0,0,459,7233,3852,53748,0,0,0,0
0057568,0001.400,-002.000,0000.200,0000.0,0000.0,0,0,0,0,476,7516,3918,53448,0,0,0,0
0057569,0001.600,-002.000,0000.200,0000.0,0000.0,0,0,0,0,615,7671,3958,53154,0,0,0,0
0057570,0001.800,-002.000,0000.200,0000.0,0000.0,0,0,0,0,659,7990,4165,52791,0,0,0,0
0057571,0002.000,-002.000,0000.200,0000.0,0000.0,0,0,0,0,633,8279,4337,52528,0,0,0,0
0057572,-010.000,-001.800,0000.200,0000.0,0000.0,0,0,0,0,3356,19063,11776,39021,0,0,0,0
0057573,-009.800,-001.800,0000.200,0000.0,0000.0,0,0,0,0,3358,20258,12659,37824,0,0,0,0
0057574,-009.600,-001.800,0000.200,0000.0,0000.0,0,0,0,0,3625,26022,15381,31793,0,0,0,0
0057575,-009.400,-001.800,0000.200,0000.0,0000.0,0,0,0,0,3563,30000,17071,27877,0,0,0,0
0057576,-009.200,-001.800,0000.200,0000.0,0000.0,0,0,0,0,3032,22843,13219,35565,0,0,0,0
0057577,-009.000,-001.800,0000.200,0000.0,0000.0,0,0,0,0,3006,20771,11944,37663,0,0,0,0
0057578,-008.800,-001.800,0000.200,0000.0,0000.0,0,0,0,0,3096,21023,12127,37321,0,0,0,0
0057579,-008.600,-001.800,0000.200,0000.0,0000.0,0,0,0,0,3018,21558,12861,36864,0,0,0,0
0057580,-008.400,-001.800,0000.200,0000.0,0000.0,0,0,0,0,2481,18783,11070,40176,0,0,0,0
0057581,-008.200,-001.800,0000.200,0000.0,0000.0,0,0,0,0,2929,21560,12501,36951,0,0,0,0
0057582,-008.000,-001.800,0000.200,0000.0,0000.0,0,0,0,0,4122,27198,15942,30120,0,0,0,0
0057583,-007.800,-001.800,0000.200,0000.0,0000.0,0,0,0,0,4005,22499,13396,34936,0,0,0,0
0057584,-007.600,-001.800,0000.200,0000.0,0000.0,0,0,0,0,4493,27608,16623,29339,0,0,0,0
0057585,-007.400,-001.800,0000.200,0000.0,0000.0,0,0,0,0,4449,30204,18044,26787,0,0,0,0
0057586,-007.200,-001.800,0000.200,0000.0,0000.0,0,0,0,0,3499,24186,13913,33755,0,0,0,0
0057587,-007.000,-001.800,0000.200,0000.0,0000.0,0,0,0,0,3323,24193,13593,33924,0,0,0,0
0057588,-006.800,-001.800,0000.200,0000.0,0000.0,0,0,0,0,2605,18020,10420,40815,0,0,0,0
0057589,-006.600,-001.800,0000.200,0000.0,0000.0,0,0,0,0,2463,18343,10516,40634,0,0,0,0
0057590,-006.400,-001.800,0000.200,0000.0,0000.0,0,0,0,0,2498,19179,10943,39763,0,0,0,0
0057591,-006.200,-001.800,0000.200,0000.0,0000.0,0,0,0,0,2691,21022,11834,37727,0,0,0,0
0057592,-006.000,-001.800,0000.200,0000.0,0000.0,0,0,0,0,2837,21375,12252,37228,0,0,0,0
0057593,-005.800,-001.800,0000.200,0000.0,0000.0,0,0,0,0,2310,15673,9056,43457,0,0,0,0
0057594,-005.600,-001.800,0000.200,0000.0,0000.0,0,0,0,0,2463,18170,10517,40807,0,0,0,0
0057595,-005.400,-001.800,0000.200,0000.0,0000.0,0,0,0,0,2481,19562,11083,39397,0,0,0,0
0057596,-005.200,-001.800,0000.200,0000.0,0000.0,0,0,0,0,2663,20112,11161,38665,0,0,0,0
0057597,-005.000,-001.800,0000.200,0000.0,0000.0,0,0,0,0,2510,16195,9161,42735,0,0,0,0
0057598,-004.800,-001.800,0000.200,0000.0,0000.0,0,0,0,0,2634,16948,9582,41858,0,0,0,0
