DB No.,n_d[i],d_u,d_u_d_v 
0057511,2.56015e-18,0.0118426,0.325989
0057512,2.56015e-18,0.136716,0.1493
0057513,2.56015e-18,0.0137043,0.0870573
0057514,2.56015e-18,0.0179283,0.110166
0057515,2.56015e-18,0.00992977,0.0526854
0057516,2.56015e-18,0.00833129,0.0564764
0057517,2.56015e-18,0.008916,0.0472415
0057518,2.56015e-18,0.0160488,0.0625982
0057519,2.56015e-18,0.0141781,0.0775927
0057520,2.56015e-18,0.0105914,0.132414
0057521,2.56015e-18,0.00954283,0.0989758
0057522,2.56015e-18,0.00898876,0.0118889
0057523,2.56015e-18,0.0112947,0.0084541
0057524,2.56015e-18,0.0184394,0.0111431
0057525,2.56015e-18,0.0164627,0.0268702
0057526,2.56015e-18,0.00889209,0.116368
0057527,2.56015e-18,0.00945744,0.0297249
0057528,2.56015e-18,0.0093633,0.026695
0057529,2.56015e-18,0.0137604,0.0259804
0057530,2.56015e-18,0.0105217,0.0261237
0057531,2.56015e-18,0.00899408,0.144331
0057532,2.56015e-18,0.00923361,0.0244063
0057533,2.56015e-18,0.00989382,0.0245177
0057534,2.56015e-18,0.015041,0.0275677
0057535,2.56015e-18,0.00853715,0.13904
0057536,2.56015e-18,0.00899862,0.0240796
0057537,2.56015e-18,0.00955795,0.0893729
0057538,2.56015e-18,0.0127473,0.0977068
0057539,2.56015e-18,0.047402,0.0366836
0057540,2.56015e-18,0.00871882,0.0168767
0057541,2.56015e-18,0.00885368,0.0164046
0057542,2.56015e-18,0.0092197,0.0160687
0057543,2.56015e-18,0.0151854,0.158961
0057544,2.56015e-18,0.00842764,0.083402
0057545,2.56015e-18,0.00865092,0.0282139
0057546,2.56015e-18,0.00915332,0.0247321
0057547,2.56015e-18,0.0120009,0.026168
0057548,2.56015e-18,0.071091,0.0475236
0057549,2.56015e-18,0.00961088,0.0874575
0057550,2.56015e-18,0.0154457,0.0265892
0057551,2.56015e-18,0.0123098,0.0258464
0057552,2.56015e-18,0.0206573,0.0296321
0057553,2.5987e-18,0.0138482,0.0498217
0057554,7.36628e-13,0.00784632,0.0351304
0057555,2.57806e-07,0.00864066,0.080719
0057556,0.00165258,0.0711155,0.155321
0057557,0.194023,0.346763,0.160648
0057558,0.417221,0.426911,0.0897438
0057559,0.0164324,0.0227615,0.0816374
0057560,1.18538e-05,0.00818554,0.128807
0057561,1.56617e-10,0.0109616,0.134375
0057562,4.04601e-17,0.0726773,0.0993927
0057563,2.56015e-18,0.0143828,0.0670162
0057564,2.56015e-18,0.00735695,0.0590847
0057565,2.56015e-18,0.0086478,0.13285
0057566,2.56015e-18,0.168305,0.12006
0057567,2.56015e-18,0.00565476,0.102512
0057568,2.56015e-18,0.0056263,0.0411276
0057569,2.56015e-18,0.0056899,0.196253
0057570,2.56015e-18,0.0118143,0.0664745
0057571,2.56015e-18,0.006227,0.144545
0057572,1.95588e-11,0.112016,0.322516
0057573,1.95588e-11,0.0744014,0.0941683
0057574,1.95588e-11,0.0494912,0.0994694
0057575,1.95588e-11,0.123657,0.152281
0057576,1.95588e-11,0.0974642,0.0873119
0057577,1.95588e-11,0.098594,0.0870033
0057578,1.95588e-11,0.105801,0.0912744
0057579,1.95588e-11,0.0496514,0.0723252
0057580,1.95588e-11,0.0829441,0.099227
0057581,1.95588e-11,0.11037,0.101134
0057582,1.95588e-11,0.124055,0.183958
0057583,1.95588e-11,0.0764125,0.0334065
0057584,1.95588e-11,0.126518,0.0476162
0057585,1.95588e-11,0.144148,0.0542513
0057586,1.95588e-11,0.0630701,0.023737
0057587,1.95588e-11,0.0906404,0.0341133
0057588,1.95588e-11,0.0983936,0.039299
0057589,1.95588e-11,0.1,0.0406761
0057590,1.95588e-11,0.0608825,0.0229136
0057591,1.95588e-11,0.0400791,0.0150841
0057592,1.95588e-11,0.152928,0.0575559
0057593,1.95588e-11,0.0355075,0.0847889
0057594,1.95588e-11,0.0395279,0.0148767
0057595,1.95588e-11,0.0653473,0.024594
0057596,1.95588e-11,0.102048,0.0384067
0057597,1.95588e-11,0.10698,0.0417743
0057598,1.95588e-11,0.072366,0.0300626
0057599,1.95588e-11,0.0727678,0.0712293
0057600,1.95588e-11,0.101625,0.0474961
0057601,1.95588e-11,0.1403,0.0786543
0057602,1.95588e-11,0.0758149,0.0321549
0057603,1.95588e-11,0.0515791,0.0194122
0057604,1.95588e-11,0.0318028,0.1041
0057605,1.95588e-11,0.0338588,0.129794
0057606,1.95588e-11,0.0313845,0.0169865
0057607,1.95588e-11,0.0319886,0.0148869
0057608,1.95588e-11,0.0339015,0.0127591
0057609,1.95588e-11,0.0324761,0.0122226
0057610,1.95588e-11,0.0697076,0.026235
0057611,1.95588e-11,0.102605,0.141202
0057612,1.95588e-11,0.106155,0.0431738
0057613,1.95588e-11,0.101524,0.0382093
0057614,1.95588e-11,0.0536493,0.0201914
0057615,2.02955e-11,0.056098,0.021113
0057616,2.57826e-07,0.152886,0.0928488
0057617,0.00165258,0.0964846,0.102283
0057618,0.194023,0.328548,0.151141
0057619,0.417221,0.513184,0.103582
0057620,0.0164324,0.216931,0.167961
0057621,1.18538e-05,0.095209,0.158046
0057622,1.76175e-10,0.155654,0.218859
0057623,1.95589e-11,0.2109,0.171466
0057624,1.95588e-11,0.083147,0.0893743
0057625,1.95588e-11,0.114794,0.120012
0057626,1.95588e-11,0.120537,0.135665
0057627,1.95588e-11,0.0593537,0.104164
0057628,1.95588e-11,0.0339566,0.124287
0057629,1.95588e-11,0.033557,0.0523469
0057630,1.95588e-11,0.036466,0.122086
0057631,1.95588e-11,0.0458762,0.12574
0057632,1.95588e-11,0.0510451,0.142026
0057633,2.7368e-06,0.208294,0.338589
0057634,2.7368e-06,0.174284,0.0758401
0057635,2.7368e-06,0.128747,0.0982115
0057636,2.7368e-06,0.150693,0.152018
0057637,2.7368e-06,0.072409,0.103957
0057638,2.7368e-06,0.115106,0.0955956
0057639,2.7368e-06,0.0999013,0.0867022
0057640,2.7368e-06,0.182787,0.125003
0057641,2.7368e-06,0.16687,0.132622
0057642,2.7368e-06,0.142998,0.112835
0057643,2.7368e-06,0.15376,0.150364
0057644,2.7368e-06,0.186117,0.0718645
0057645,2.7368e-06,0.223541,0.0841304
0057646,2.7368e-06,0.166207,0.0625523
0057647,2.7368e-06,0.0920398,0.086043
0057648,2.7368e-06,0.0900572,0.111728
0057649,2.7368e-06,0.083856,0.0988285
0057650,2.7368e-06,0.194266,0.154457
0057651,2.7368e-06,0.181053,0.156403
0057652,2.7368e-06,0.126737,0.112218
0057653,2.7368e-06,0.0980613,0.110906
0057654,2.7368e-06,0.0963843,0.126245
0057655,2.7368e-06,0.0745689,0.0916538
0057656,2.7368e-06,0.0628168,0.076388
0057657,2.7368e-06,0.0711001,0.0727669
0057658,2.7368e-06,0.0831397,0.111243
0057659,2.7368e-06,0.186399,0.156394
0057660,2.7368e-06,0.147593,0.0949284
0057661,2.7368e-06,0.0963075,0.0690501
0057662,2.7368e-06,0.0883824,0.0332624
0057663,2.7368e-06,0.127013,0.0478013
0057664,2.7368e-06,0.140609,0.0529182
0057665,2.7368e-06,0.110647,0.041642
0057666,2.7368e-06,0.0800953,0.0301435
0057667,2.7368e-06,0.0640774,0.0553456
0057668,2.7368e-06,0.11559,0.0886247
0057669,2.7368e-06,0.0706766,0.10491
0057670,2.7368e-06,0.076819,0.0693365
0057671,2.7368e-06,0.165416,0.141909
0057672,2.7368e-06,0.121557,0.0791321
0057673,2.7368e-06,0.0613162,0.0988442
0057674,2.7368e-06,0.155062,0.158651
0057675,2.7368e-06,0.123307,0.110603
0057676,2.7368e-06,0.111493,0.133854
0057677,2.99461e-06,0.12272,0.121546
0057678,0.00165532,0.185227,0.13781
0057679,0.194026,0.366209,0.151413
0057680,0.417224,0.606504,0.141081
0057681,0.0164352,0.337388,0.172109
0057682,1.45906e-05,0.231874,0.208923
0057683,2.73696e-06,0.167687,0.185911
0057684,2.7368e-06,0.15349,0.171701
0057685,2.7368e-06,0.157812,0.145622
0057686,2.7368e-06,0.160388,0.11465
0057687,2.7368e-06,0.10336,0.181938
0057688,2.7368e-06,0.170992,0.102481
0057689,2.7368e-06,0.154005,0.204142
0057690,2.7368e-06,0.138219,0.0955657
0057691,2.7368e-06,0.190018,0.179687
0057692,2.7368e-06,0.208778,0.105633
0057693,2.7368e-06,0.0742624,0.246021
0057694,0.00701399,0.134639,0.347396
0057695,0.00701399,0.11933,0.0672284
0057696,0.00701399,0.16293,0.0672463
0057697,0.00701399,0.130358,0.114424
0057698,0.00701399,0.188339,0.124385
0057699,0.00701399,0.1463,0.139594
0057700,0.00701399,0.21395,0.126144
0057701,0.00701399,0.127341,0.0994507
0057702,0.00701399,0.164875,0.1265
0057703,0.00701399,0.255525,0.149788
0057704,0.00701399,0.152971,0.142636
0057705,0.00701399,0.109482,0.071179
0057706,0.00701399,0.0873725,0.156832
0057707,0.00701399,0.138396,0.181409
0057708,0.00701399,0.224355,0.0817982
0057709,0.00701399,0.142246,0.0508959
0057710,0.00701399,0.178867,0.0673009
0057711,0.00701399,0.095024,0.0395179
0057712,0.00701399,0.113904,0.19212
0057713,0.00701399,0.133823,0.0517419
0057714,0.00701399,0.125295,0.0445161
0057715,0.00701399,0.133273,0.0475185
0057716,0.00701399,0.126946,0.0482131
0057717,0.00701399,0.153782,0.0552374
0057718,0.00701399,0.0758355,0.182467
0057719,0.00701399,0.142521,0.0509991
0057720,0.00701399,0.0820023,0.0282225
0057721,0.00701399,0.104031,0.0365133
0057722,0.00701399,0.152255,0.0546627
0057723,0.00701399,0.128207,0.0474192
0057724,0.00701399,0.114268,0.0435902
0057725,0.00701399,0.0959285,0.0334637
0057726,0.00701399,0.162439,0.0584954
0057727,0.00701399,0.14222,0.0508859
0057728,0.00701399,0.234975,0.210371
0057729,0.00701399,0.176498,0.0637866
0057730,0.00701399,0.0731446,0.0248888
0057731,0.00701399,0.133451,0.0475855
0057732,0.00701399,0.122356,0.04341
0057733,0.00701399,0.0941407,0.0360153
0057734,0.00701399,0.142049,0.0508215
0057735,0.00701399,0.129733,0.0461864
0057736,0.00701399,0.171928,0.0620667
