DB No.,n_d[i],d_u,d_u_d_v 
0057511,2.22523e-71,0.0964572,0.0430233
0057512,2.22523e-71,0.161473,0.062322
0057513,2.22523e-71,0.216837,0.331475
0057514,2.22523e-71,0.196678,0.384642
0057515,2.22523e-71,0.105699,0.155563
0057516,2.22523e-71,0.114152,0.152283
0057517,2.22523e-71,0.226056,0.202988
0057518,2.22523e-71,0.112053,0.162296
0057519,2.22523e-71,0.148236,0.157615
0057520,2.22523e-71,0.116868,0.0726585
0057521,2.22523e-71,0.0970326,0.107183
0057522,2.22523e-71,0.169301,0.0565593
0057523,2.22523e-71,0.214578,0.0679718
0057524,2.22523e-71,0.203246,0.0643882
0057525,2.22523e-71,0.111111,0.0917125
0057526,2.22523e-71,0.188982,0.115133
0057527,2.22523e-71,0.22867,0.137647
0057528,2.22523e-71,0.128589,0.0999524
0057529,2.22523e-71,0.0919369,0.0893913
0057530,2.22523e-71,0.125862,0.0956844
0057531,2.22523e-71,0.204648,0.119954
0057532,2.22523e-71,0.219121,0.158179
0057533,2.22523e-71,0.0947129,0.0886561
0057534,2.22523e-71,0.104819,0.0897419
0057535,2.22523e-71,0.175944,0.110863
0057536,2.22523e-71,0.222646,0.13628
0057537,2.22523e-71,0.142077,0.101548
0057538,2.22523e-71,0.0899942,0.0918732
0057539,2.22523e-71,0.112646,0.124572
0057540,2.22523e-71,0.190318,0.162799
0057541,2.22523e-71,0.209817,0.213063
0057542,2.22523e-71,0.0808868,0.0731653
0057543,2.22523e-71,0.0971044,0.0857274
0057544,2.22523e-71,0.160802,0.21231
0057545,2.22523e-71,0.189825,0.198748
0057546,2.22523e-71,0.157204,0.149626
0057547,2.22523e-71,0.156313,0.106127
0057548,2.22523e-71,0.168267,0.109854
0057549,2.22523e-71,0.0846977,0.08198
0057550,2.22523e-71,0.167155,0.183108
0057551,2.22523e-71,0.226426,0.131758
0057552,8.86191e-64,0.165662,0.108949
0057553,6.99763e-50,0.0846759,0.0818418
0057554,1.01204e-37,0.111952,0.0971466
0057555,2.6808e-27,0.227677,0.227319
0057556,1.30063e-18,0.0638236,0.195574
0057557,1.15575e-11,0.150931,0.219432
0057558,1.88104e-06,0.0662158,0.164687
0057559,0.00560732,0.0743597,0.156148
0057560,0.306149,0.490074,0.158616
0057561,0.306149,0.496183,0.1474
0057562,0.00560732,0.268765,0.220684
0057563,1.88104e-06,0.196633,0.168081
0057564,1.15575e-11,0.182941,0.181935
0057565,1.30063e-18,0.055036,0.157532
0057566,2.6808e-27,0.0773234,0.176253
0057567,1.01204e-37,0.171868,0.25121
0057568,6.99763e-50,0.204676,0.221953
0057569,8.86191e-64,0.0536074,0.0890342
0057570,2.22523e-71,0.0518812,0.107236
0057571,2.22523e-71,0.127094,0.0988125
0057572,1.29833e-56,0.25036,0.142139
0057573,1.29833e-56,0.25,0.135961
0057574,1.29833e-56,0.248795,0.37555
0057575,1.29833e-56,0.253877,0.43815
0057576,1.29833e-56,0.265625,0.242757
0057577,1.29833e-56,0.282297,0.249855
0057578,1.29833e-56,0.247181,0.250141
0057579,1.29833e-56,0.253333,0.259979
0057580,1.29833e-56,0.265801,0.264219
0057581,1.29833e-56,0.234113,0.208779
0057582,1.29833e-56,0.207264,0.136017
0057583,1.29833e-56,0.210967,0.116424
0057584,1.29833e-56,0.215583,0.114883
0057585,1.29833e-56,0.183564,0.104758
0057586,1.29833e-56,0.215442,0.413265
0057587,1.29833e-56,0.226718,0.416831
