DB No.,n_d[i],d_u,d_u_d_v 
0057648,2.66434e-06,0.165356,0.0664406
0057649,2.66434e-06,0.205127,0.0818914
0057650,2.66434e-06,0.188923,0.0765933
0057651,2.66434e-06,0.152227,0.0647936
0057652,2.66434e-06,0.149275,0.0639121
0057653,2.66434e-06,0.198398,0.0870814
0057654,2.66434e-06,0.183683,0.109992
0057655,2.66434e-06,0.169299,0.122868
0057656,2.66434e-06,0.149654,0.0891114
0057657,2.66434e-06,0.164332,0.109105
0057658,2.66434e-06,0.20639,0.150834
0057659,2.66434e-06,0.203137,0.131546
0057660,2.66434e-06,0.151279,0.126248
0057661,2.66434e-06,0.15109,0.176662
0057662,2.66434e-06,0.203823,0.0646966
0057663,2.66434e-06,0.168001,0.053326
0057664,2.66434e-06,0.1497,0.047517
0057665,2.66434e-06,0.152839,0.0485132
0057666,2.66434e-06,0.172762,0.0548373
0057667,2.66434e-06,0.209765,0.0727587
0057668,2.66434e-06,0.169463,0.172727
0057669,2.66513e-06,0.17513,0.11228
0057670,3.89235e-05,0.190588,0.161341
0057671,0.0305595,0.188103,0.11569
0057672,0.471654,0.650017,0.123114
0057673,0.133341,0.317498,0.154516
0057674,0.000693083,0.192349,0.120287
0057675,2.72982e-06,0.154714,0.163352
0057676,2.66434e-06,0.178694,0.165509
0057677,2.66434e-06,0.206298,0.0839819
0057678,2.66434e-06,0.180012,0.0638692
0057679,2.66434e-06,0.19075,0.166257
0057680,2.66434e-06,0.155958,0.137032
0057681,2.66434e-06,0.181637,0.149997
0057682,2.66434e-06,0.194025,0.163879
0057683,2.66434e-06,0.147646,0.113679
0057684,2.66434e-06,0.178812,0.131952
0057685,2.66434e-06,0.242613,0.167561
0057686,2.66434e-06,0.19313,0.464648
0057687,2.66434e-06,0.157757,0.246708
0057688,2.66434e-06,0.127755,0.14481
0057689,2.66434e-06,0.139973,0.0952814
0057690,2.66434e-06,0.155229,0.126998
0057691,2.66434e-06,0.100268,0.0849971
0057692,2.66434e-06,0.0864318,0.0487872
0057693,2.66434e-06,0.0790641,0.076389
0057694,0.00690307,0.159095,0.111592
0057695,0.00690307,0.168683,0.0935178
0057696,0.00690307,0.168439,0.0853167
0057697,0.00690307,0.171415,0.110567
0057698,0.00690307,0.174443,0.124415
0057699,0.00690307,0.16407,0.115925
0057700,0.00690307,0.178028,0.123238
0057701,0.00690307,0.197169,0.125832
0057702,0.00690307,0.145221,0.127864
0057703,0.00690307,0.170969,0.103587
0057704,0.00690307,0.216578,0.0974945
0057705,0.00690307,0.21226,0.109424
0057706,0.00690307,0.190706,0.124598
0057707,0.00690307,0.169159,0.0930364
0057708,0.00690307,0.176551,0.0538494
0057709,0.00690307,0.197498,0.0604984
0057710,0.00690307,0.211568,0.0931978
0057711,0.00690307,0.191082,0.149431
0057712,0.00690307,0.182143,0.166983
0057713,0.00690307,0.188442,0.0719762
0057714,0.00690307,0.186608,0.057042
0057715,0.00690307,0.198826,0.06092
0057716,0.00690307,0.168962,0.0635398
0057717,0.00690307,0.190227,0.0581908
0057718,0.00690307,0.204212,0.0904161
0057719,0.00690307,0.207519,0.0636793
0057720,0.00690307,0.201023,0.0616174
0057721,0.00690307,0.176901,0.0539608
0057722,0.00690307,0.175049,0.0533729
0057723,0.00690307,0.177425,0.163515
0057724,0.00690307,0.217532,0.0793864
0057725,0.00690307,0.197218,0.0604096
0057726,0.00690307,0.193879,0.0593497
0057727,0.00690307,0.205358,0.0629935
0057728,0.00690307,0.17903,0.0582569
0057729,0.00690307,0.203349,0.0623559
0057730,0.00690307,0.160958,0.0489
0057731,0.00693933,0.174794,0.0532805
0057732,0.0374599,0.205177,0.0532368
0057733,0.478554,0.66131,0.0705389
0057734,0.140242,0.3007,0.0509326
0057735,0.00759349,0.174553,0.0529962
0057736,0.00690314,0.192261,0.0588362
0057737,0.00690307,0.165148,0.0538545
0057738,0.00690307,0.188012,0.0574874
0057739,0.00690307,0.156691,0.0475455
0057740,0.00690307,0.143033,0.0432104
0057741,0.00690307,0.17961,0.0548205
0057742,0.00690307,0.164828,0.0626572
0057743,0.00690307,0.14706,0.0444885
0057744,0.00690307,0.135091,0.0406895
0057745,0.00690307,0.134286,0.0404587
0057746,0.00690307,0.143367,0.0675564
0057747,0.00690307,0.14452,0.365622
0057748,0.00690307,0.0892453,0.117151
0057749,0.00690307,0.0917958,0.154743
0057750,0.00690307,0.118591,0.146024
0057751,0.00690307,0.138864,0.0509743
0057752,0.00690307,0.0857158,0.0250167
0057753,0.00690307,0.0866686,0.0253191
0057754,0.00690307,0.0836606,0.0487877
0057755,0.32758,0.47835,0.0747407
0057756,0.32758,0.47455,0.153269
0057757,0.32758,0.489745,0.0514745
0057758,0.32758,0.49442,0.0529583
0057759,0.32758,0.483424,0.049468
0057760,0.32758,0.478285,0.0478367
0057761,0.32758,0.475791,0.0636214
0057762,0.32758,0.502836,0.0556298
0057763,0.32758,0.535295,0.065933
0057764,0.32758,0.507502,0.0947616
0057765,0.32758,0.487567,0.0640067
0057766,0.32758,0.505412,0.0564475
0057767,0.32758,0.54814,0.0700102
0057768,0.32758,0.525186,0.062724
0057769,0.32758,0.512738,0.103011
0057770,0.32758,0.517808,0.100919
0057771,0.32758,0.526812,0.136248
0057772,0.32758,0.537085,0.163405
0057773,0.32758,0.49627,0.106775
0057774,0.32758,0.508778,0.118113
0057775,0.32758,0.51841,0.120713
0057776,0.32758,0.539935,0.112076
0057777,0.32758,0.525093,0.160978
0057778,0.32758,0.505609,0.100611
0057779,0.32758,0.511026,0.178966
0057780,0.32758,0.52389,0.166007
0057781,0.32758,0.531978,0.155497
0057782,0.32758,0.509413,0.110734
0057783,0.32758,0.532613,0.137272
0057784,0.32758,0.515376,0.150238
0057785,0.32758,0.48589,0.154676
0057786,0.32758,0.505871,0.150035
0057787,0.32758,0.49815,0.10689
0057788,0.32758,0.499666,0.100911
0057789,0.32758,0.478946,0.132932
0057790,0.32758,0.516046,0.146713
0057791,0.32758,0.525482,0.144423
0057792,0.327616,0.481502,0.0939831
0057793,0.358137,0.505699,0.112696
0057794,0.799231,0.937304,0.118367
0057795,0.460918,0.603397,0.16043
0057796,0.32827,0.449791,0.129466
0057797,0.32758,0.445345,0.145227
0057798,0.32758,0.457296,0.162741
0057799,0.32758,0.466686,0.117099
0057800,0.32758,0.454444,0.162624
0057801,0.32758,0.440377,0.139162
0057802,0.32758,0.436241,0.1432
0057803,0.32758,0.430397,0.134875
0057804,0.32758,0.432226,0.129478
0057805,0.32758,0.410162,0.128919
0057806,0.32758,0.43028,0.147621
0057807,0.32758,0.468232,0.157443
0057808,0.32758,0.4736,0.439781
0057809,0.32758,0.461362,0.238654
0057810,0.32758,0.492242,0.142074
0057811,0.32758,0.514256,0.124719
