DB No.,n_d[i],d_u,d_u_d_v 
0057511,2.64354e-18,0.0591071,0.130157
0057512,2.64354e-18,0.0788588,0.116926
0057513,2.64354e-18,0.11389,0.188104
0057514,2.64354e-18,0.0594041,0.134874
0057515,2.64354e-18,0.0605933,0.281774
0057516,2.64354e-18,0.0293753,0.341892
0057517,2.64354e-18,0.0931021,0.0997774
0057518,2.64354e-18,0.0467452,0.128399
0057519,2.64354e-18,0.0415639,0.0640171
0057520,2.64354e-18,0.0548827,0.0985556
0057521,2.64354e-18,0.0486031,0.0604691
0057522,2.64354e-18,0.0605065,0.0269517
0057523,2.64354e-18,0.085854,0.0315825
0057524,2.64354e-18,0.0939236,0.0345509
0057525,2.64354e-18,0.0536055,0.019719
0057526,2.64354e-18,0.0681216,0.0341784
0057527,2.64354e-18,0.110559,0.0483238
0057528,2.64354e-18,0.0532828,0.0260187
0057529,2.64354e-18,0.0441914,0.016256
0057530,2.64354e-18,0.0550217,0.0208675
0057531,2.64354e-18,0.093506,0.11245
0057532,2.64354e-18,0.0808305,0.0316669
0057533,2.64354e-18,0.0481262,0.0233688
0057534,2.64354e-18,0.0491324,0.0180735
0057535,2.64354e-18,0.0654996,0.0257499
0057536,2.64354e-18,0.10573,0.0478156
0057537,2.64354e-18,0.0544162,0.0581048
0057538,2.64354e-18,0.0451028,0.0678356
0057539,2.64354e-18,0.0541121,0.0822278
0057540,2.64354e-18,0.0898782,0.0645891
0057541,2.64354e-18,0.0855865,0.0504535
0057542,2.64354e-18,0.0556518,0.0644325
0057543,2.64354e-18,0.0602525,0.107796
0057544,2.64354e-18,0.0586313,0.134112
0057545,2.64354e-18,0.0791725,0.0513648
0057546,2.64354e-18,0.0293026,0.0172234
0057547,2.64354e-18,0.0645161,0.0237325
0057548,2.64354e-18,0.0819971,0.0301629
0057549,2.64354e-18,0.0595701,0.117632
0057550,2.64354e-18,0.0864875,0.0336009
0057551,2.64354e-18,0.0947449,0.0415772
0057552,2.64354e-18,0.0800239,0.0294371
0057553,2.64354e-18,0.0569971,0.0226043
0057554,2.64354e-18,0.0359631,0.103941
0057555,2.64354e-18,0.0969724,0.174977
0057556,2.64354e-18,0.0456882,0.172115
0057557,2.64354e-18,0.0659408,0.145474
0057558,2.73727e-18,0.0656055,0.135798
0057559,1.48056e-12,0.0493119,0.151974
0057560,4.28359e-07,0.0870334,0.190973
0057561,0.00226993,0.100889,0.172145
0057562,0.220313,0.312371,0.117529
0057563,0.391643,0.513555,0.109342
0057564,0.0127515,0.0803559,0.15893
0057565,7.60424e-06,0.0520612,0.189789
0057566,8.30561e-11,0.0582568,0.128495
0057567,1.92589e-17,0.0904082,0.133895
0057568,2.64354e-18,0.102446,0.118321
0057569,2.64354e-18,0.0450281,0.111333
0057570,2.64354e-18,0.0188022,0.0226458
0057571,2.64354e-18,0.0385334,0.0186601
0057572,2.00513e-11,0.143934,0.0529465
0057573,2.00513e-11,0.159547,0.174213
0057574,2.00513e-11,0.168975,0.196842
0057575,2.00513e-11,0.15199,0.182522
0057576,2.00513e-11,0.0794037,0.272243
0057577,2.00513e-11,0.0836115,0.396694
0057578,2.00513e-11,0.175947,0.140853
0057579,2.00513e-11,0.144335,0.114398
0057580,2.00513e-11,0.172706,0.115034
0057581,2.00513e-11,0.17411,0.109794
0057582,2.00513e-11,0.159356,0.111889
0057583,2.00513e-11,0.0834336,0.0354666
0057584,2.00513e-11,0.218976,0.0805512
0057585,2.00513e-11,0.205666,0.0756548
0057586,2.00513e-11,0.163419,0.0601142
0057587,2.00513e-11,0.126968,0.0467056
0057588,2.00513e-11,0.0939965,0.0364476
0057589,2.00513e-11,0.111513,0.0751483
