DB No.,n_d[i],d_u,d_u_d_v 
0057511,2.64354e-18,0.0357836,0.0526956
0057512,2.64354e-18,0.0667662,0.171675
0057513,2.64354e-18,0.0185392,0.0967185
0057514,2.64354e-18,0.123861,0.109083
0057515,2.64354e-18,0.0184697,0.20151
0057516,2.64354e-18,0.0090812,0.328534
0057517,2.64354e-18,0.00968153,0.117581
0057518,2.64354e-18,0.0247125,0.0873747
0057519,2.64354e-18,0.107389,0.0936024
0057520,2.64354e-18,0.0145481,0.0476664
0057521,2.64354e-18,0.0103142,0.0106002
0057522,2.64354e-18,0.00972526,0.00543638
0057523,2.64354e-18,0.0150833,0.00517441
0057524,2.64354e-18,0.0155699,0.0053413
0057525,2.64354e-18,0.110369,0.0378565
0057526,2.64354e-18,0.00967573,0.0778173
0057527,2.64354e-18,0.0103233,0.149688
0057528,2.64354e-18,0.0129672,0.05817
0057529,2.64354e-18,0.112895,0.0387231
0057530,2.64354e-18,0.0113609,0.00702964
0057531,2.64354e-18,0.00977366,0.00568066
0057532,2.64354e-18,0.0102628,0.00622386
0057533,2.64354e-18,0.0160315,0.00800009
0057534,2.64354e-18,0.0108508,0.00372183
0057535,2.64354e-18,0.00925694,0.10064
0057536,2.64354e-18,0.00975732,0.103465
0057537,2.64354e-18,0.0127339,0.0949701
0057538,2.64354e-18,0.0877609,0.24148
0057539,2.64354e-18,0.0111084,0.0839911
0057540,2.64354e-18,0.00949367,0.129314
0057541,2.64354e-18,0.00960809,0.00896286
0057542,2.64354e-18,0.0150999,0.0251146
0057543,2.64354e-18,0.0106152,0.187416
0057544,2.64354e-18,0.00917191,0.156566
0057545,2.64354e-18,0.00939086,0.113976
0057546,2.64354e-18,0.0116539,0.0107185
0057547,2.64354e-18,0.0659755,0.0226296
0057548,2.64354e-18,0.010596,0.00363444
0057549,2.64354e-18,0.0152788,0.00777081
0057550,2.64354e-18,0.0204908,0.00952725
0057551,2.64354e-18,0.017922,0.00928379
0057552,2.64354e-18,0.0705732,0.0242067
0057553,2.64354e-18,0.136625,0.0979625
0057554,2.64354e-18,0.00863352,0.0491807
0057555,2.64354e-18,0.00972763,0.110636
0057556,2.64354e-18,0.062455,0.0820225
0057557,2.64354e-18,0.0653439,0.151169
0057558,2.73727e-18,0.0157352,0.134321
0057559,1.48056e-12,0.00697604,0.149379
0057560,4.28359e-07,0.00894397,0.0995734
0057561,0.00226993,0.0202389,0.0784488
0057562,0.220313,0.233948,0.0908143
0057563,0.391643,0.401961,0.144737
0057564,0.0127515,0.0220525,0.161772
0057565,7.60424e-06,0.027058,0.0592382
0057566,8.30561e-11,0.00885217,0.0965579
0057567,1.92589e-17,0.00628515,0.0788033
0057568,2.64354e-18,0.00625,0.102125
0057569,2.64354e-18,0.0116572,0.0379061
0057570,2.64354e-18,0.112973,0.0754044
0057571,2.64354e-18,0.0068836,0.00433405
0057572,2.00513e-11,0.0716834,0.0245874
0057573,2.00513e-11,0.0933661,0.0632543
0057574,2.00513e-11,0.204868,0.190103
0057575,2.00513e-11,0.153807,0.124228
0057576,2.00513e-11,0.195542,0.253705
0057577,2.00513e-11,0.0893937,0.353287
0057578,2.00513e-11,0.0726982,0.113179
0057579,2.00513e-11,0.0897621,0.164303
0057580,2.00513e-11,0.0582137,0.0772991
0057581,2.00513e-11,0.096851,0.0770276
0057582,2.00513e-11,0.190431,0.0767227
0057583,2.00513e-11,0.17799,0.0632016
0057584,2.00513e-11,0.0803662,0.0275657
0057585,2.00513e-11,0.109638,0.037606
0057586,2.00513e-11,0.0635158,0.0217859
0057587,2.00513e-11,0.120198,0.041228
0057588,2.00513e-11,0.0915658,0.0398444
0057589,2.00513e-11,0.0989124,0.0374964
0057590,2.00513e-11,0.0826165,0.0283375
0057591,2.00513e-11,0.123275,0.0422832
0057592,2.00513e-11,0.087982,0.0301779
0057593,2.00513e-11,0.0995789,0.0372746
0057594,2.00513e-11,0.0767846,0.0263372
0057595,2.00513e-11,0.0524113,0.0179771
0057596,2.00513e-11,0.115461,0.0396031
0057597,2.00513e-11,0.0291089,0.0155315
0057598,2.00513e-11,0.0280247,0.0129284
0057599,2.00513e-11,0.0298007,0.0798968
0057600,2.00513e-11,0.0545703,0.0509415
0057601,2.00513e-11,0.0347569,0.168008
0057602,2.00513e-11,0.0360291,0.0166112
0057603,2.00513e-11,0.0554006,0.0190024
0057604,2.00513e-11,0.0751851,0.0872192
0057605,2.00513e-11,0.209381,0.0760351
0057606,2.00513e-11,0.0796949,0.0339928
0057607,2.00513e-11,0.0568783,0.0228522
