DB No.,n_d[i],d_u,d_u_d_v 
0057511,2.22523e-71,0.116355,0.0850558
0057512,2.22523e-71,0.0434379,0.100738
0057513,2.22523e-71,0.145275,0.332012
0057514,2.22523e-71,0.148852,0.400186
0057515,2.22523e-71,0.0783435,0.202014
0057516,2.22523e-71,0.00614051,0.181878
0057517,2.22523e-71,0.0433718,0.181187
0057518,2.22523e-71,0.0914198,0.160982
0057519,2.22523e-71,0.0527815,0.138364
0057520,2.22523e-71,0.0854515,0.164922
0057521,2.22523e-71,0.027526,0.0580885
0057522,2.22523e-71,0.00677277,0.0149635
0057523,2.22523e-71,0.0980842,0.0304321
0057524,2.22523e-71,0.106156,0.032927
0057525,2.22523e-71,0.0884777,0.074544
0057526,2.22523e-71,0.00658715,0.0665752
0057527,2.22523e-71,0.0345269,0.0716261
0057528,2.22523e-71,0.0829764,0.151795
0057529,2.22523e-71,0.0727144,0.069672
0057530,2.22523e-71,0.0163062,0.0631933
0057531,2.22523e-71,0.0170745,0.0644632
0057532,2.22523e-71,0.0661485,0.0694565
0057533,2.22523e-71,0.106472,0.142629
0057534,2.22523e-71,0.0148973,0.0518024
0057535,2.22523e-71,0.00639033,0.0643443
0057536,2.22523e-71,0.0328152,0.0853298
0057537,2.22523e-71,0.083726,0.183865
0057538,2.22523e-71,0.0621563,0.109825
0057539,2.22523e-71,0.0157642,0.174308
0057540,2.22523e-71,0.0127126,0.0589428
0057541,2.22523e-71,0.0653641,0.163946
0057542,2.22523e-71,0.113636,0.130362
0057543,2.22523e-71,0.0153483,0.109967
0057544,2.22523e-71,0.00623997,0.13524
0057545,2.22523e-71,0.0289552,0.220856
0057546,2.22523e-71,0.0785414,0.17199
0057547,2.22523e-71,0.0638792,0.0669413
0057548,2.22523e-71,0.0627824,0.0666023
0057549,2.22523e-71,0.101137,0.0943547
0057550,2.22523e-71,0.0208821,0.0639853
0057551,2.22523e-71,0.141226,0.101084
0057552,8.86191e-64,0.131219,0.0877543
0057553,6.99763e-50,0.0731373,0.0872645
0057554,1.01204e-37,0.00562888,0.105317
0057555,2.6808e-27,0.076019,0.209119
0057556,1.30063e-18,0.140522,0.240893
0057557,1.15575e-11,0.040611,0.292006
0057558,1.88104e-06,0.169562,0.25865
0057559,0.00560732,0.010126,0.197424
0057560,0.306149,0.314155,0.229048
0057561,0.306149,0.470136,0.207835
0057562,0.00560732,0.105046,0.178423
0057563,1.88104e-06,0.0341057,0.190367
0057564,1.15575e-11,0.0809282,0.154346
0057565,1.30063e-18,0.0821449,0.15107
0057566,2.6808e-27,0.0148792,0.150289
0057567,1.01204e-37,0.00394518,0.152396
0057568,6.99763e-50,0.0473826,0.191229
0057569,8.86191e-64,0.105984,0.153676
0057570,2.22523e-71,0.052127,0.129985
0057571,2.22523e-71,0.0226862,0.0686612
0057572,1.29833e-56,0.174709,0.101197
0057573,1.29833e-56,0.153688,0.15585
0057574,1.29833e-56,0.138917,0.38315
